# Constructed from biom file
#OTU ID	DD10	DD102	DD104	DD106	DD107	DD108	DD110	DD111	DD112	DD113	DD114	DD115	DD116	DD118	DD119	DD12	DD120	DD121	DD122	DD123	DD125	DD128	DD129	DD13	DD130	DD132	DD133	DD134	DD135	DD136	DD137	DD138	DD139	DD14	DD140	DD141	DD144	DD145	DD146	DD147	DD148	DD149	DD15	DD150	DD151	DD152	DD153	DD154	DD155	DD157	DD160	DD161	DD162	DD164	DD167	DD168	DD169	DD17	DD18	DD2	DD20	DD21	DD22	DD23	DD24	DD25	DD27	DD28	DD29	DD3	DD30	DD31	DD32	DD33	DD34	DD36	DD38	DD39	DD4	DD42	DD43	DD44	DD47	DD48	DD5	DD53	DD58	DD59	DD6	DD60	DD61	DD63	DD64	DD65	DD67	DD68	DD7	DD70	DD71	DD72	DD79	DD8	DD80	DD81	DD82	DD83	DD84	DD85	DD86	DD87	DD89	DD90	DD93	DD96	DD97	DD98	DIET1	DIET10	DIET11	DIET12	DIET13	DIET14	DIET15	DIET16	DIET17	DIET18	DIET19	DIET2	DIET20	DIET21	DIET22	DIET23	DIET24	DIET25	DIET26	DIET27	DIET28	DIET29	DIET3	DIET30	DIET31	DIET32	DIET33	DIET34	DIET35	DIET36	DIET37	DIET38	DIET39	DIET4	DIET40	DIET41	DIET42	DIET43	DIET44	DIET45	DIET46	DIET47	DIET48	DIET49	DIET5	DIET50	DIET51	DIET52	DIET53	DIET54	DIET55	DIET56	DIET6	DIET7	DIET8	DIET9	ID100	ID103	ID104	ID106	ID109	ID110	ID112	ID113	ID115	ID117	ID120	ID123	ID124	ID125	ID127	ID128	ID129	ID131	ID132	ID133	ID134	ID135	ID136	ID138	ID140	ID153	ID155	ID156	ID16	ID167	ID17	ID18	ID188	ID205	ID209	ID21	ID210	ID211	ID214	ID216	ID217	ID220	ID221	ID225	ID230	ID231	ID235	ID237	ID238	ID239	ID240	ID241	ID25	ID254	ID255	ID256	ID257	ID258	ID259	ID260	ID261	ID262	ID263	ID264	ID265	ID266	ID27	ID28	ID29	ID3	ID30	ID31	ID32	ID33	ID34	ID35	ID36	ID37	ID38	ID39	ID4	ID40	ID42	ID43	ID44	ID45	ID46	ID47	ID49	ID5	ID50	ID51	ID52	ID53	ID54	ID55	ID56	ID57	ID58	ID59	ID6	ID60	ID61	ID63	ID64	ID7	ID8	ID83	ID85	ID86	ID87	ID89	ID9	ID90	ID91	ID92	ID95	ID97	ID98	ID99	ITS3.DD102	ITS3.DD107	ITS3.DD115	ITS3.DD116	ITS3.DD119	ITS3.DD136	ITS3.DD58	ITS3.DIET14	ITS3.DIET54	ITS3.ID128
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.006	0.04	0.01	0.032	0.0	0.012	0.018	0.004	0.006	0.03	0.024	0.028	0.0	0.006	0.002	0.012	0.004	0.006	0.01	0.024	0.016	0.032	0.0	0.004	0.024	0.008	0.002	0.034	0.0	0.0	0.014	0.008	0.034	0.002	0.0	0.0	0.002	0.0	0.01	0.01	0.012	0.014	0.004	0.004	0.024	0.008	0.002	0.012	0.11	0.0	0.026	0.198	0.046	0.002	0.02	0.0	0.002	0.01	0.022	0.006	0.016	0.012	0.03	0.0	0.016	0.06	0.054	0.016	0.004	0.0	0.0	0.008	0.028	0.0	0.006	0.006	0.016	0.016	0.0	0.01	0.002	0.004	0.012	0.002	0.026	0.002	0.004	0.004	0.012	0.034	0.008	0.0	0.0	0.0	0.002	0.028	0.04	0.002	0.006	0.018	0.002	0.01	0.004	0.006	0.014	0.014	0.006	0.002	0.002	0.004	0.006	0.002	0.036	0.012	0.006	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.006	0.0	0.0	0.0	0.0	0.024	0.006	0.0	0.004	0.006	0.0	0.0	0.008	0.01	0.01	0.0	0.006	0.008	0.0	0.002	0.004	0.128	0.09	0.136	0.002	0.0	0.0	0.0	0.794	0.844	0.756	0.0	0.014	0.008	0.43	0.418	0.534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.002	0.012	0.0	0.004	0.04	0.0	0.0	0.004	0.002	0.002	0.0	0.01	0.022	0.002	0.042	0.0	0.06	0.022	0.066	0.004	0.012	0.008	0.0	0.004	0.008	0.0	0.0	0.016	0.002	0.016	0.006	0.034	0.0	0.002	0.02	0.094	0.0	0.016	0.0	0.0	0.0	0.002	0.002	0.0	0.002	0.002	0.002	0.014	0.006	0.004	0.0	0.0	0.0	0.0	0.002	0.038	0.002	0.0	0.0	0.008	0.002	0.002	0.004	0.002	0.008	0.0	0.002	0.0	0.014	0.0	0.002	0.0	0.0	0.006	0.0	0.0	0.008	0.066	0.002	0.0	0.092	0.014	0.0	0.002	0.01	0.014	0.008	0.014	0.0	0.0	0.002	0.0	0.008	0.0	0.006	0.002	0.006	0.01	0.01	0.0	0.0	0.01	0.016	0.014	0.0	0.006	0.0	0.0	0.008	0.0	0.0	0.006	0.0	0.002	0.0	0.0	0.012	0.018	0.004	0.004	0.006	0.002	0.0	0.004	0.004	0.002	0.008	0.004
k__Bacteria;p__Bacteroidetes	0.562	0.564	0.51	0.478	0.746	0.482	0.56	0.712	0.52	0.486	0.542	0.502	0.426	0.582	0.468	0.678	0.622	0.24	0.608	0.502	0.662	0.576	0.64	0.58	0.646	0.534	0.656	0.478	0.368	0.512	0.74	0.606	0.542	0.778	0.508	0.336	0.764	0.67	0.584	0.596	0.838	0.422	0.532	0.632	0.564	0.784	0.768	0.596	0.576	0.492	0.472	0.494	0.582	0.772	0.472	0.376	0.662	0.462	0.652	0.548	0.648	0.752	0.57	0.7	0.206	0.46	0.436	0.624	0.728	0.868	0.46	0.612	0.612	0.69	0.682	0.764	0.472	0.624	0.912	0.6	0.864	0.64	0.712	0.554	0.464	0.734	0.744	0.832	0.636	0.746	0.744	0.69	0.536	0.672	0.708	0.346	0.604	0.56	0.538	0.578	0.702	0.622	0.634	0.376	0.646	0.506	0.554	0.684	0.782	0.672	0.654	0.702	0.654	0.538	0.724	0.672	0.0	0.002	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.02	0.0	0.022	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.006	0.624	0.838	0.516	0.726	0.856	0.64	0.534	0.69	0.664	0.524	0.632	0.732	0.954	0.772	0.482	0.514	0.446	0.52	0.294	0.434	0.35	0.544	0.522	0.504	0.864	0.622	0.446	0.83	0.606	0.58	0.708	0.602	0.72	0.48	0.56	0.548	0.584	0.546	0.528	0.634	0.518	0.728	0.576	0.714	0.736	0.784	0.604	0.56	0.314	0.564	0.55	0.694	0.66	0.652	0.642	0.532	0.766	0.424	0.598	0.68	0.47	0.484	0.474	0.666	0.436	0.618	0.662	0.826	0.572	0.748	0.42	0.642	0.676	0.672	0.56	0.642	0.73	0.692	0.576	0.526	0.676	0.758	0.468	0.288	0.702	0.594	0.574	0.522	0.548	0.464	0.57	0.668	0.638	0.594	0.634	0.584	0.4	0.65	0.502	0.48	0.528	0.688	0.452	0.484	0.502	0.456	0.618	0.584	0.6	0.684	0.716	0.732	0.62	0.608	0.662	0.636	0.478	0.8	0.552	0.552	0.54	0.554	0.544	0.554	0.544	0.516	0.514	0.514	0.474	0.518
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.002	0.0	0.0	0.02	0.002	0.0	0.0	0.0	0.0	0.012	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.004	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.892	0.43	0.762	0.756	0.494	0.482	0.752	0.692	0.958	0.922	0.712	0.868	0.588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666	0.0	0.0	0.0	0.892	0.948	0.74	0.744	0.676	0.522	0.576	0.326	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.004	0.01	0.006	0.002
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.02	0.026	0.014	0.016	0.016	0.01	0.008	0.006	0.02
k__Bacteria;p__Firmicutes	0.334	0.33	0.438	0.46	0.182	0.428	0.346	0.178	0.204	0.42	0.394	0.408	0.456	0.358	0.426	0.294	0.258	0.56	0.314	0.442	0.25	0.374	0.264	0.376	0.3	0.354	0.154	0.452	0.552	0.216	0.244	0.38	0.316	0.094	0.464	0.52	0.118	0.24	0.38	0.2	0.128	0.344	0.22	0.17	0.378	0.152	0.202	0.36	0.25	0.416	0.48	0.296	0.362	0.192	0.474	0.584	0.258	0.478	0.276	0.384	0.288	0.214	0.276	0.242	0.632	0.456	0.388	0.32	0.194	0.132	0.442	0.338	0.352	0.146	0.246	0.15	0.478	0.334	0.084	0.348	0.112	0.356	0.168	0.338	0.486	0.196	0.214	0.14	0.306	0.216	0.242	0.29	0.418	0.242	0.208	0.598	0.282	0.344	0.402	0.29	0.244	0.286	0.264	0.592	0.298	0.352	0.402	0.276	0.112	0.32	0.292	0.262	0.256	0.338	0.224	0.314	0.002	0.0	0.0	0.0	0.006	0.0	0.05	0.058	0.002	0.004	0.004	0.002	0.136	0.97	0.984	0.992	0.964	0.998	0.996	0.99	0.99	0.224	0.002	0.312	0.334	0.938	0.898	0.916	0.872	0.91	0.864	0.998	1.0	0.0	1.0	0.194	0.154	0.194	0.998	0.986	0.992	0.562	0.576	0.448	0.0	1.0	0.998	1.0	0.002	0.0	0.0	0.002	0.0	0.012	0.016	0.0	0.108	0.128	0.454	0.242	0.138	0.294	0.262	0.14	0.264	0.248	0.29	0.25	0.04	0.206	0.442	0.374	0.464	0.478	0.624	0.488	0.562	0.438	0.438	0.196	0.108	0.336	0.53	0.164	0.342	0.35	0.224	0.2	0.234	0.436	0.292	0.26	0.332	0.348	0.3	0.322	0.23	0.192	0.338	0.214	0.256	0.212	0.362	0.25	0.65	0.36	0.4	0.292	0.212	0.212	0.276	0.45	0.214	0.464	0.224	0.174	0.494	0.386	0.49	0.234	0.346	0.334	0.25	0.108	0.302	0.176	0.502	0.338	0.262	0.158	0.408	0.29	0.158	0.236	0.362	0.362	0.31	0.232	0.408	0.686	0.136	0.27	0.34	0.414	0.41	0.372	0.384	0.276	0.26	0.398	0.338	0.33	0.398	0.216	0.264	0.44	0.36	0.258	0.208	0.318	0.43	0.494	0.358	0.322	0.372	0.266	0.248	0.242	0.35	0.374	0.32	0.186	0.464	0.196	0.398	0.308	0.392	0.388	0.388	0.402	0.404	0.412	0.372	0.354	0.406	0.396
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.044	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.004	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.002	0.018	0.002	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.096	0.066	0.042	0.028	0.056	0.056	0.044	0.058	0.03	0.058	0.04	0.06	0.086	0.054	0.068	0.016	0.11	0.03	0.056	0.032	0.072	0.018	0.078	0.04	0.03	0.074	0.132	0.032	0.052	0.256	0.002	0.002	0.104	0.126	0.012	0.098	0.116	0.008	0.024	0.176	0.02	0.018	0.14	0.056	0.034	0.056	0.018	0.032	0.062	0.072	0.004	0.01	0.01	0.034	0.012	0.032	0.068	0.05	0.05	0.048	0.048	0.022	0.124	0.012	0.018	0.022	0.114	0.018	0.014	0.0	0.058	0.006	0.008	0.054	0.066	0.08	0.002	0.026	0.004	0.028	0.02	0.0	0.1	0.078	0.01	0.068	0.034	0.006	0.046	0.004	0.006	0.014	0.04	0.08	0.082	0.014	0.064	0.01	0.048	0.098	0.052	0.066	0.018	0.026	0.042	0.128	0.038	0.038	0.042	0.004	0.048	0.034	0.054	0.112	0.034	0.006	0.106	0.568	0.238	0.244	0.5	0.516	0.192	0.244	0.04	0.074	0.264	0.13	0.224	0.0	0.0	0.002	0.03	0.002	0.002	0.002	0.0	0.766	0.15	0.682	0.658	0.062	0.096	0.078	0.0	0.0	0.0	0.0	0.0	0.134	0.0	0.012	0.002	0.05	0.0	0.0	0.0	0.008	0.006	0.018	0.332	0.0	0.002	0.0	0.106	0.052	0.26	0.254	0.322	0.466	0.404	0.668	0.266	0.006	0.028	0.02	0.006	0.06	0.11	0.156	0.072	0.108	0.074	0.016	0.006	0.01	0.054	0.084	0.048	0.002	0.022	0.056	0.022	0.012	0.018	0.036	0.028	0.032	0.016	0.006	0.052	0.054	0.066	0.18	0.04	0.044	0.144	0.17	0.064	0.012	0.166	0.028	0.252	0.08	0.08	0.062	0.006	0.004	0.03	0.112	0.008	0.022	0.012	0.002	0.084	0.082	0.082	0.016	0.018	0.0	0.132	0.108	0.028	0.1	0.032	0.042	0.094	0.046	0.078	0.062	0.106	0.074	0.064	0.02	0.058	0.074	0.032	0.062	0.11	0.072	0.032	0.026	0.01	0.008	0.032	0.012	0.162	0.132	0.042	0.05	0.018	0.104	0.046	0.054	0.098	0.008	0.02	0.086	0.196	0.058	0.078	0.066	0.034	0.044	0.336	0.08	0.014	0.014	0.024	0.038	0.026	0.038	0.028	0.026	0.016	0.012	0.018	0.058	0.038	0.004	0.032	0.122	0.01	0.004	0.008	0.006	0.008	0.008	0.084	0.096	0.088	0.01
k__Bacteria;p__Synergistetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
