# Constructed from biom file
#OTU ID	EM031.441732	EM032.441683	EM033.441685	EM034.441676	EM035.441593	EM036.441587	EM037.441737	EM038.441649	EM039.441743	EM040.441709	EM042.441674	EM043.441739	EM044.441601	EM046.441741	EM047.441722	EM047.T3.441645	EM049.441600	EM049.T3.441671	EM050.441672	EM052.441625	EM053.441738	EM053.T3.441688	EM054.441707	EM054.T3.441749	EM055.441603	EM055.T3.441626	EM056.441606	EM056.T3.441716	EM057.441605	EM057.T3.441589	EM058.441637	EM059.441715	EM059.T3.441604	EM060.441677	EM060.T3.441729	EM061.441673	EM062.441720	EM063.441621	EM063.T3.441695	EM064.441592	EM065.441667	EM065.T3.441614	EM066.441656	EM066.T3.441647	EM067.441615	EM068.441712	EM069.441700	EM070.441682	EM071.441747	EM071.T3.441734	EM072.441643	EM072.T3.441632	EM073.441594	EM073.T3.441721	EM074.441596	EM075.441644	EM076.441622	EM077.441646	EM077.T3.441639	EM078.441658	EM079.441724	EM080.441727	EM081.441618	EM082.441607	EM082.T3.441751	EM083.441666	EM083.T3.441744	EM084.441599	EM085.441675	EM086.441698	EM086.T3.441746	EM087.441726	EM088.441638	EM089.441742	EM089.T3.441624	EM090.441664	EM090.T3.441662	EM091.441686	EM092.441616	EM093.441602	EM093.T3.441670	EM094.441640	EM094.T3.441588	EM095.441717	EM095.T3.441590	EM096.441706	EM098.441733	EM098.T3.441740	EM099.441708	EM100.441714	EM100.T3.441627	EM101.441623	EM102.441633	EM103.441691	EM105.441629	EM106.441745	EM107.441620	EM108.441694	EM109.441669	EM110.441723	EM111.441634	EM112.441630	EM113.441619	EM114.441710	EM115.441641	EM116.441657	EM117.441609	EM118.441693	EM122.441699	EM123.441687	EM124.441697	EM125.441659	EM126.441679	EM129.441689	EM130.441701	EM131.441591	EM132.441696	EM133.441663	EM134.441735	EM135.441660	EM136.441650	EM137.441680	EM138.441753	EM139.441611	EM140.441608	EM141.441684	EM142.441711	EM144.441736	EM145.441690	EM146.441718	EM147.441617	EM148.441631	EM149.441655	EM150.441648	EM151.441595	EM152.441730	EM155.441678	EM156.441613	EM158.441731	EM159.441719	EM160.441703	EM162.441728	EM163.441642	EM165.441597	EM166.441748	EM167.441702	EM168.441668	EM169.441653	EM170.441651	EM173.441754	EM174.441652	EM178.441705	EM179.441612	EM180.441692	EM182.441681	EM183.441654	EM209.441665	EM222.441725	EMC01.441661	EMC02.441750	EMC03.441713	EMC04.441704	EMC05.441628	EMC06.441610	EMC07.441636	EMC08.441752	EMC09.441635
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.001	0.058	0.001	0.005	0.002	0.0	0.004	0.011	0.006	0.006	0.004	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.001	0.0	0.025	0.004	0.0	0.0	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.006	0.005	0.003	0.003	0.0	0.002	0.0	0.003	0.001	0.002	0.001	0.0	0.011	0.005	0.008	0.003	0.002	0.008	0.026	0.0	0.005	0.0	0.0	0.003	0.001	0.001	0.003	0.0	0.022	0.0	0.002	0.015	0.002	0.019	0.017	0.009	0.005	0.003	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.002	0.003	0.005	0.002	0.037	0.003	0.0	0.001	0.001	0.004	0.001	0.0	0.008	0.0	0.005	0.009	0.0	0.003	0.0	0.0	0.034	0.0	0.01	0.0	0.008	0.003	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.005	0.0	0.101	0.005	0.003	0.0	0.038	0.003	0.0	0.009	0.0	0.0	0.004	0.004	0.001	0.0	0.03	0.0	0.002	0.004	0.0	0.004	0.0	0.0	0.001	0.008	0.042	0.001	0.0	0.017	0.0	0.003	0.004	0.004	0.006	0.001	0.001	0.0	0.003	0.014	0.0	0.016	0.008	0.01	0.008	0.007	0.002
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.58	0.249	0.566	0.676	0.593	0.514	0.653	0.457	0.52	0.689	0.328	0.401	0.468	0.702	0.925	0.599	0.46	0.509	0.712	0.567	0.534	0.903	0.664	0.663	0.363	0.434	0.62	0.645	0.545	0.034	0.495	0.666	0.727	0.668	0.497	0.52	0.573	0.351	0.388	0.441	0.607	0.604	0.67	0.577	0.666	0.829	0.797	0.537	0.397	0.628	0.365	0.252	0.707	0.638	0.297	0.412	0.709	0.62	0.615	0.488	0.578	0.539	0.165	0.876	0.765	0.612	0.627	0.581	0.436	0.527	0.529	0.571	0.752	0.498	0.306	0.544	0.573	0.32	0.489	0.465	0.639	0.554	0.541	0.3	0.582	0.531	0.745	0.589	0.471	0.272	0.307	0.49	0.56	0.518	0.561	0.699	0.155	0.526	0.42	0.764	0.722	0.787	0.45	0.815	0.744	0.337	0.73	0.172	0.43	0.621	0.276	0.612	0.706	0.592	0.736	0.649	0.837	0.633	0.602	0.683	0.771	0.823	0.482	0.745	0.683	0.622	0.565	0.625	0.455	0.481	0.926	0.669	0.492	0.67	0.541	0.609	0.635	0.499	0.611	0.363	0.436	0.564	0.446	0.634	0.669	0.592	0.519	0.642	0.679	0.604	0.748	0.498	0.792	0.495	0.765	0.522	0.795	0.496	0.479	0.448	0.544	0.508	0.263	0.266	0.434	0.635	0.277
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.017	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.012	0.005	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.008	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.023	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.001	0.0	0.0	0.001	0.004	0.0	0.0	0.0	0.004	0.003	0.001	0.0	0.005	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.002	0.019	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.003	0.001	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.005	0.0	0.002	0.0	0.0	0.004	0.014	0.009	0.001	0.0	0.007	0.006	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.002	0.0	0.001	0.001	0.001	0.003	0.002	0.009	0.002	0.001	0.004	0.0	0.0	0.006	0.001	0.002	0.0	0.002	0.003	0.0	0.003	0.0	0.002	0.001	0.003	0.0	0.001	0.001	0.0	0.0	0.005	0.002	0.002	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.001	0.001	0.0	0.001	0.001	0.0	0.001	0.0	0.001	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.003	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.001	0.0	0.0
